"source","target","dst_port","weight","type","time","diff"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","26","graph_edge","1771677211732","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","26","graph_edge","1771677211732","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","26","graph_edge","1771677211732","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","26","graph_edge","1771677211732","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","26","graph_edge","1771677211732","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","73","graph_edge","1771677211732","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","73","graph_edge","1771677211732","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","73","graph_edge","1771677211732","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","73","graph_edge","1771677211732","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","73","graph_edge","1771677211732","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","73","graph_edge","1771677211876","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","73","graph_edge","1771677211876","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","73","graph_edge","1771677211876","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","73","graph_edge","1771677211876","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","73","graph_edge","1771677211876","-1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:49804","2404:6800:4007:800::2005:443","443","162","graph_edge","1771677211876","1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:49804","2404:6800:4007:800::2005:443","443","162","graph_edge","1771677211876","1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:49804","2404:6800:4007:800::2005:443","443","162","graph_edge","1771677211876","1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:49804","2404:6800:4007:800::2005:443","443","162","graph_edge","1771677211876","1"
